,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
0,47.0,25.0,20.0,24.0,11.0,5.8518658674318305,3,250
1,30.5,27.5,27.5,25.5,22.5,8.190172157418749,4,250
2,24.6,27.6,28.3,27.0,25.0,7.689608935325583,4,250
3,22.0,30.0,29.7,29.0,25.2,8.238876144059496,4,250
4,16.8,25.8,24.8,24.3,22.8,8.312160413613102,4,250
5,16.4,27.1,26.0,25.2,24.1,8.488091678935103,3,250
6,16.0,27.5,26.6,25.6,24.7,7.843152633632616,3,250
7,15.7,28.5,27.2,27.0,24.8,8.369368112707491,4,250
8,15.6,29.3,28.0,27.5,25.3,8.218067329712513,3,250
9,15.4,29.6,28.0,28.2,26.0,8.593723144615172,2,250
10,15.1,29.7,27.9,28.2,26.5,7.938161720199645,3,250
11,14.9,30.0,28.1,28.3,26.4,7.643842789085356,4,250
12,14.7,29.7,28.1,28.2,26.9,7.941565957683366,3,250
13,14.6,29.4,28.5,28.4,27.0,7.958393518684319,4,250
14,14.6,29.5,28.9,28.5,27.2,8.578168561012225,4,250
15,14.5,29.9,29.1,28.5,27.8,8.867641581750787,3,250
16,14.5,30.0,29.4,28.9,27.9,8.4088808994139,4,250
17,14.4,30.0,29.6,29.0,27.9,7.934571523219532,3,250
18,14.4,30.1,29.8,29.5,28.0,8.343561922208337,4,250
19,14.4,30.4,30.1,29.7,28.0,8.18524854507207,2,250
20,14.4,30.7,30.2,29.8,28.3,8.807167076852318,4,250
21,14.3,31.0,30.1,29.9,28.3,8.954716001182021,3,250
22,14.3,31.0,30.2,30.0,28.5,8.376300653351452,3,250
23,14.3,30.7,30.1,30.0,28.6,7.856794211899704,3,250
24,14.2,30.6,30.0,30.0,28.5,7.933792501574362,4,250
25,14.2,31.0,30.1,29.7,28.5,8.834399187235274,4,250
26,14.2,31.0,30.2,29.7,28.6,8.887528328996549,4,250
27,13.7,30.2,29.5,28.7,27.7,9.28295658454035,4,250
28,13.8,30.5,29.6,28.7,27.9,7.397133610725844,4,300
29,13.8,30.7,29.6,28.7,28.0,5.777040884118337,3,300
30,13.7,30.8,29.7,28.9,28.0,5.890258592169293,4,300
31,13.7,30.8,29.8,29.0,28.0,5.8743419513193285,3,300
32,13.6,30.8,29.8,28.9,27.8,4.926525794303753,3,300
33,13.6,31.1,29.8,29.1,27.8,5.62505097702448,4,300
34,13.6,31.1,30.0,29.0,27.9,5.986106247399785,3,300
35,13.7,31.3,30.2,29.3,28.0,6.318168525411674,4,300
