,cpu_p1,cpu_p2,cpu_p3,cpu_p4,cpu_p5,fps,num_psrs,width
0,49.0,28.0,21.0,25.0,12.0,7.742312609420653,3,250
1,31.0,27.5,27.5,25.5,22.5,11.66569614555678,4,250
2,24.6,27.6,28.3,27.0,25.0,13.571072676971633,4,250
3,22.0,30.0,29.7,29.0,25.2,12.550273499421722,4,250
4,16.8,25.8,24.8,24.3,22.8,12.533321764113245,4,250
5,16.4,27.1,26.0,25.2,24.1,11.864120230994422,3,250
6,16.0,27.5,26.6,25.6,24.7,12.503859364284553,3,250
7,15.7,28.5,27.2,27.0,24.8,11.862396204033214,4,250
8,15.5,28.8,27.6,27.3,25.1,11.46906268129482,3,250
9,15.3,29.5,27.9,28.0,25.8,12.277830299607393,4,250
10,15.1,29.7,27.9,28.2,26.5,11.82851563957239,3,250
11,14.8,30.0,28.1,28.3,26.4,12.697432872090944,4,250
12,14.7,29.7,28.1,28.2,26.9,12.635896638365498,3,250
13,14.6,29.4,28.5,28.4,27.0,12.130509350756478,4,250
14,14.6,29.5,28.9,28.5,27.2,11.214607399958693,4,250
15,14.5,29.9,29.1,28.5,27.8,10.97709081147645,3,250
16,14.5,30.0,29.4,28.9,27.9,11.822066083379063,4,250
17,14.4,30.0,29.6,29.0,27.9,11.327219781101476,3,250
18,14.4,30.1,29.8,29.5,28.0,11.82492023105894,4,250
19,14.3,30.4,30.1,29.6,28.0,10.518937434316408,2,250
20,14.3,30.7,30.2,29.8,28.3,12.93738306596075,4,250
21,14.3,31.0,30.1,29.9,28.3,11.827087973822712,4,250
22,14.3,31.0,30.2,30.0,28.5,11.723889770184707,3,250
23,14.2,30.7,30.1,30.0,28.6,11.573716860590723,3,250
24,14.2,30.6,30.0,30.0,28.5,12.036212333599364,4,250
25,14.2,31.0,30.1,29.7,28.5,10.463265851609965,4,250
26,14.2,31.0,30.2,29.7,28.6,10.827059380515033,4,250
27,14.2,31.3,30.5,29.6,28.6,9.969642438773933,4,250
28,13.8,30.5,29.6,28.7,27.9,9.515589866658038,4,300
29,13.8,30.7,29.6,28.7,28.0,7.403294466037386,3,300
30,13.7,30.8,29.7,28.9,28.0,7.940470294204349,4,300
31,13.7,30.8,29.8,29.0,28.0,6.678216801630248,3,300
32,13.6,30.8,29.8,28.9,27.8,7.7413910892717865,3,300
33,13.6,31.1,29.8,29.1,27.8,6.496531780105392,4,300
34,13.6,31.1,30.0,29.0,27.9,7.922384400032877,3,300
35,13.7,31.3,30.2,29.3,28.0,8.771904175718785,4,300
36,13.7,31.3,30.3,29.6,28.3,7.6987109470857975,3,300
37,13.7,31.4,30.4,29.6,28.4,7.914006406388186,2,300
38,13.7,31.4,30.6,29.6,28.5,7.534865234225995,4,300
39,13.7,31.5,30.5,29.9,28.6,8.221317877255723,4,300
40,13.7,31.7,30.7,29.9,28.6,7.206583935083092,4,300
41,13.7,31.8,30.8,30.0,28.8,7.984422391913377,4,300
42,13.6,31.8,30.9,30.0,29.0,7.3143793383412445,4,300
43,13.6,31.9,30.8,29.9,29.1,8.321159784759333,3,300
44,13.6,31.9,31.0,29.9,29.2,7.903279663478352,3,300
45,13.6,32.0,31.1,30.0,29.1,8.354443775057529,4,300
46,13.5,32.0,31.2,30.0,29.2,8.843288091726514,3,300
47,13.6,32.3,31.4,30.1,29.3,8.475510013815082,4,300
48,13.6,32.3,31.7,30.2,29.4,7.788616936347529,4,300
49,13.3,31.9,31.2,29.9,29.1,8.218817805246893,3,300
50,13.3,31.8,31.2,30.0,29.3,8.245216400285102,4,300
51,13.3,31.8,31.2,30.1,29.4,8.329168748958853,3,300
52,13.3,31.9,31.2,30.2,29.4,8.533046117321799,4,300
53,13.3,31.9,31.4,30.4,29.4,8.93645288354511,3,300
54,13.3,31.9,31.4,30.4,29.6,8.68662144475888,3,300
55,13.3,32.0,31.4,30.5,29.6,8.94639321187445,2,300
56,13.3,32.0,31.4,30.6,29.7,9.055190480459352,3,300
57,13.3,32.2,31.4,30.6,29.9,7.871203497175714,3,350
58,13.3,32.4,31.5,30.9,30.0,6.420127650480913,4,350
59,13.4,32.5,31.6,31.0,30.2,6.999419048218998,3,350
60,13.4,32.6,31.7,31.1,30.2,6.566062088683111,3,350
61,13.4,32.6,32.0,31.4,30.2,7.17741769071969,4,350
62,13.3,32.2,31.6,31.0,30.1,6.927708495881911,3,350
63,13.3,32.2,31.6,30.9,30.1,6.904088403893117,3,350
64,13.3,32.3,31.7,31.0,30.1,6.605568305350888,4,350
65,13.3,32.5,31.9,31.1,30.3,6.252311122146937,3,350
66,13.3,32.4,32.0,31.3,30.3,5.742703894701781,4,350
67,13.3,32.4,32.1,31.3,30.3,6.777501406331542,4,350
68,13.3,32.4,32.1,31.3,30.4,6.450227739112247,4,350
69,13.3,32.6,32.3,31.4,30.5,5.526195085738916,4,350
70,13.4,32.7,32.3,31.4,30.5,5.785167793970891,4,350
71,13.4,32.7,32.2,31.5,30.6,5.797723234085975,4,350
72,13.4,32.7,32.3,31.6,30.6,6.529747196173195,4,350
73,13.4,32.8,32.4,31.6,30.8,5.417211021135249,3,350
74,13.4,32.9,32.5,31.8,31.0,6.180939043579152,3,350
75,13.4,32.8,32.5,31.7,31.2,6.413698193352842,4,350
76,13.3,32.4,32.1,31.4,30.8,6.922146616998616,3,350
77,13.3,32.5,32.2,31.5,31.0,5.902799444799549,2,350
78,13.3,32.5,32.2,31.5,31.1,6.80771605988845,3,350
79,13.3,32.6,32.2,31.8,31.2,6.683732463556948,3,350
80,13.4,32.6,32.3,31.9,31.1,6.528754500177209,3,350
81,13.4,32.8,32.3,32.0,31.2,6.464124111182935,4,350
82,13.4,32.8,32.3,31.9,31.3,5.972021081234416,3,350
83,13.4,32.9,32.6,32.1,31.4,6.155945940241595,4,350
84,13.4,32.9,32.7,32.0,31.5,5.844501201044998,3,350
85,13.4,33.0,32.7,32.0,31.6,4.564438459958463,3,400
86,13.4,33.1,32.7,32.1,31.6,4.649679218630707,4,400
87,13.4,33.1,32.8,32.0,31.6,4.920494647485923,3,400
88,13.4,33.2,32.9,32.0,31.8,4.732652462399076,4,400
89,13.4,33.2,32.8,32.1,31.8,4.721832146422126,2,400
90,13.2,32.9,32.6,31.7,31.5,5.222832132952414,4,400
91,13.2,33.0,32.7,31.7,31.5,4.637805909677803,4,400
92,13.2,33.1,32.8,31.9,31.7,4.589690820067597,4,400
93,13.2,33.1,32.8,31.9,31.8,4.390686826358873,2,400
94,13.2,33.1,32.8,32.0,31.9,4.638640618534895,4,400
95,13.2,33.2,32.8,32.0,32.0,4.598787943449625,4,400
96,13.2,33.3,32.8,32.1,32.0,4.323527860381179,3,400
97,13.2,33.4,32.8,32.4,32.0,3.9448385338139724,4,400
98,13.0,33.1,32.5,32.2,31.8,3.807674367688075,4,400
