,t_cropped,t_full,t_masked
0,0.009019,0.018153,0.008744
1,0.007948,0.012732,0.008143
2,0.007913,0.013068,0.00813
3,0.008223,0.012674,0.008281
4,0.007969,0.012643,0.008298
5,0.007832,0.012756,0.008213
6,0.007748,0.01287,0.008076
7,0.007851,0.012783,0.008717
8,0.008746,0.013236,0.00833
9,0.007841,0.012647,0.008207
10,0.007859,0.012644,0.008349
11,0.008445,0.012615,0.008763
12,0.007866,0.012938,0.008078
13,0.00782,0.01289,0.008125
14,0.008129,0.012641,0.009031
15,0.008143,0.013217,0.011687
16,0.007825,0.012653,0.011438
17,0.007718,0.012715,0.012474
18,0.007898,0.012859,0.011619
19,0.008796,0.012734,0.011607
20,0.00769,0.012924,0.012026
21,0.007826,0.013056,0.01146
22,0.008219,0.013244,0.012397
23,0.007884,0.012573,0.008247
24,0.007802,0.012769,0.008149
25,0.007895,0.013232,0.008849
26,0.008755,0.012766,0.008187
27,0.007861,0.012697,0.008239
28,0.007818,0.012632,0.008453
29,0.007949,0.013233,0.008285
30,0.008026,0.012631,0.008149
31,0.007827,0.012623,0.008118
32,0.007887,0.013606,0.008744
33,0.007894,0.012699,0.008206
34,0.007935,0.012969,0.008249
35,0.007852,0.012589,0.008376
36,0.007886,0.013505,0.008686
37,0.008477,0.012593,0.008141
38,0.007972,0.013151,0.008121
39,0.007774,0.012624,0.00824
40,0.007991,0.012896,0.008106
41,0.0087,0.012684,0.008244
42,0.008331,0.012786,0.00813
43,0.009381,0.014741,0.009168
44,0.008289,0.012647,0.008179
45,0.007971,0.012904,0.008198
46,0.007855,0.012692,0.009032
47,0.008011,0.012712,0.008645
48,0.008858,0.012643,0.008165
49,0.007985,0.012727,0.008317
