,t_cropped,t_full,t_masked
0,0.269178,4.392378,0.532669
1,0.251684,0.510372,0.452887
2,0.264402,0.673957,0.437273
3,0.27969,0.847243,0.501327
4,0.527444,0.742279,0.413371
5,0.450006,0.808692,0.457891
6,0.420285,0.417368,0.490532
7,0.60167,0.452724,0.57661
8,0.462198,0.704262,0.502288
9,0.481233,0.448591,0.490262
10,0.229745,0.655979,0.509244
11,0.259,0.831383,0.509613
12,0.252464,1.097728,0.468479
13,0.294353,0.847169,0.471524
14,0.26396,0.783899,0.549215
15,0.239022,0.754367,0.440588
16,0.440049,0.81985,0.653018
17,0.412626,0.896449,0.445662
18,0.465531,0.747106,0.551782
19,0.528921,0.401031,0.459978
20,0.525773,0.432934,0.602154
21,0.38938,0.502238,0.472663
22,0.24918,0.789122,0.495977
23,0.41691,0.708286,0.479787
24,0.236253,0.711971,0.508405
25,0.244338,0.725953,0.488967
26,0.249107,0.804356,0.425538
27,0.251277,0.805966,0.415406
28,0.516927,0.76077,0.473147
29,0.455833,0.884848,0.532861
30,0.464097,0.917886,0.589965
31,0.48974,0.857912,0.558268
32,0.273146,0.735246,0.541399
33,0.408165,0.760461,0.484554
34,0.441042,0.727298,0.473983
35,0.442277,0.718328,0.553732
36,0.258383,0.730425,0.466739
37,0.441043,0.753123,0.549032
38,0.3256,0.740627,0.525454
39,0.530668,0.967133,0.580542
40,0.287015,0.883409,0.58539
41,0.244347,0.714834,0.998169
42,0.275266,0.931912,0.50191
43,0.421063,0.726822,0.467918
44,0.247629,0.711425,0.530907
45,0.390262,0.768581,0.635835
46,0.235923,0.735111,0.361054
47,0.261645,0.759601,0.411807
48,0.261417,0.827528,0.450153
49,0.23111,0.790347,0.278124
