,t_cropped,t_full,t_masked
0,876,25,926
1,876,6,931
2,810,6,878
3,872,6,876
4,870,6,861
5,879,6,935
6,884,5,937
7,870,6,848
8,685,15,854
9,817,6,539
10,859,6,543
11,862,19,586
12,845,6,855
13,784,14,636
14,860,20,532
15,652,22,533
16,524,16,536
17,530,17,904
18,532,13,937
19,527,14,762
20,532,9,877
21,535,10,677
22,546,7,814
23,549,5,791
24,536,6,912
25,528,6,871
26,542,6,852
27,548,6,848
28,551,6,884
29,546,6,784
30,540,24,756
31,545,446,552
32,547,450,648
33,533,442,927
34,806,440,914
35,862,354,911
36,810,429,917
37,855,392,916
38,672,419,884
39,527,427,888
40,531,340,917
41,522,382,834
42,525,418,922
43,532,408,921
44,534,411,878
45,540,403,914
46,546,338,867
47,526,330,836
48,535,166,904
49,538,436,919
