,t_cropped,t_full,t_masked
0,102,51,211
1,96,346,188
2,108,369,210
3,108,127,156
4,108,0,168
5,103,1,164
6,110,19,170
7,89,20,156
8,96,0,150
9,96,0,166
10,90,26,156
11,90,74,123
12,85,100,144
13,96,98,264
14,102,130,183
15,102,26,138
16,90,0,120
17,101,27,149
18,106,0,161
19,88,54,163
20,90,105,174
21,84,20,172
22,91,26,120
23,90,44,144
24,84,8,156
25,84,116,152
26,81,117,132
27,90,228,133
28,85,59,145
29,90,130,152
30,105,127,156
31,110,103,159
32,89,128,162
33,84,127,157
34,90,123,168
35,87,150,126
36,93,127,140
37,96,82,133
38,84,32,152
39,156,74,156
40,90,179,156
41,84,184,150
42,93,159,144
43,99,181,216
44,108,115,142
45,186,228,156
46,108,19,168
47,108,87,156
48,108,47,155
49,114,321,157
