,t_cropped,t_full,t_masked
0,59,0,96
1,25,0,115
2,40,4,119
3,70,0,100
4,69,0,96
5,73,1,100
6,76,0,96
7,71,0,102
8,76,0,96
9,73,2,97
10,75,0,108
11,75,0,120
12,75,14,114
13,76,0,120
14,75,0,114
15,75,0,120
16,70,0,112
17,36,0,120
18,40,0,114
19,76,4,121
20,71,0,103
21,75,0,100
22,75,3,97
23,75,0,105
24,75,0,96
25,75,0,106
26,75,0,96
27,76,0,104
28,75,0,100
29,75,0,101
30,74,0,96
31,75,0,105
32,75,0,96
33,75,0,102
34,75,0,100
35,75,0,103
36,75,0,102
37,75,0,101
38,75,0,102
39,76,0,104
40,71,0,96
41,70,0,101
42,75,1,97
43,75,0,108
44,75,0,111
45,76,0,96
46,75,0,96
47,75,0,96
48,75,0,96
49,75,0,96
