,t_cropped,t_full,t_masked
0,90,110,144
1,86,157,96
2,115,120,87
3,95,155,226
4,80,153,326
5,95,263,108
6,80,184,84
7,203,165,159
8,278,162,77
9,325,170,264
10,100,187,129
11,63,156,91
12,114,163,145
13,69,143,205
14,70,158,169
15,73,176,180
16,75,174,221
17,125,141,269
18,60,198,96
19,80,148,108
20,75,163,312
21,70,127,292
22,94,149,256
23,110,173,216
24,100,125,150
25,110,74,196
26,95,123,107
27,70,76,296
28,60,145,305
29,75,106,104
30,79,172,68
31,78,167,48
32,81,192,120
33,95,165,84
34,140,134,180
35,184,138,120
36,124,223,132
37,75,157,229
38,100,118,252
39,120,166,178
40,83,145,108
41,185,206,143
42,60,153,138
43,65,132,276
44,85,102,276
45,110,130,132
46,81,121,196
47,80,151,252
48,76,223,174
49,65,128,239
