,,AvgFPS,AvgCPU,AvgCPU/PSR,AvgPSR
Eye,250,8.23317064219333,129.24285714285716,37.30721649484536,3.4642857142857144
Eye,300,5.866057105051056,134.06071428571428,39.10104166666667,3.4285714285714284
Eye,350,4.256630147063697,139.7962962962963,42.89204545454546,3.259259259259259
Eye,400,2.701827596829119,143.24615384615385,40.927472527472524,3.5
Eye,450,2.025429818723141,145.13043478260872,44.506666666666675,3.260869565217391
Eye,500,1.6588892448412207,148.18,41.62359550561798,3.56
Eye,550,1.3108211270688668,149.29722222222222,47.146491228070175,3.1666666666666665
Face,250,11.656264264029712,129.6107142857143,36.291000000000004,3.5714285714285716
Face,300,8.102802564192656,134.34137931034482,39.352525252525254,3.413793103448276
Face,350,6.415241511780636,140.0785714285714,40.85624999999999,3.4285714285714284
Face,400,4.28849976169306,143.3814814814815,42.07934782608696,3.4074074074074074
Face,450,3.5406691420276766,145.35384615384618,42.94545454545455,3.3846153846153846
Face,500,2.351675713828157,148.23333333333335,43.38536585365854,3.4166666666666665
Face,550,1.9668429889611148,149.3086956521739,44.31096774193548,3.369565217391304
