,model,preprocessing,vl,Camera_0,Camera_1,Camera_2,Camera_3,Camera_4,Camera_5,Camera_6,Camera_7,Camera_8,Camera_9
0,conv_lstm,ed,15,0.9864864945411682,0.8476190567016602,0.7665198445320129,0.9863013625144958,0.875,1.0,0.7622950673103333,0.9270833134651184,0.7599999904632568,0.7894737124443054
1,conv_lstm,ed,30,0.9863013625144958,0.8341968655586243,0.9278846383094788,0.9928571581840515,0.8646616339683533,0.9411764740943909,0.7438016533851624,0.9270833134651184,0.6600000262260437,0.7599999904632568
2,conv_lstm,ed,50,0.8794326186180115,0.822857141494751,0.9489796161651611,0.841269850730896,0.8842975497245789,0.8529411554336548,0.1666666716337204,0.9230769276618958,0.0,0.49275362491607666
3,conv_lstm,sw-o,15,0.9942498803138733,0.880639374256134,0.9348686933517456,1.0,0.996764600276947,0.9966233372688293,0.849506139755249,0.9111852049827576,0.7648119330406189,0.743759274482727
4,conv_lstm,sw-o,30,0.9717653393745422,0.8899114727973938,0.9480253458023071,1.0,0.9987505078315735,0.9961853623390198,0.8527083992958069,0.9067468047142029,0.7592592835426331,0.74039226770401
5,conv_lstm,sw-o,50,0.9843143820762634,0.9042441248893738,0.5367293357849121,1.0,0.9998049736022949,0.9975401759147644,0.8588678240776062,0.8956867456436157,0.7260788083076477,0.679934024810791
6,conv_lstm,irw,15,0.954674243927002,0.7107942700386047,0.9195678234100342,0.9596773982048035,0.6177777647972107,1.0,0.7717570066452026,0.8857142925262451,0.757377028465271,0.625
7,conv_lstm,irw,30,0.9356358051300049,0.7730061411857605,0.9367470145225525,1.0,0.8731988668441772,1.0,0.7836363911628723,0.8963730335235596,0.7559999823570251,0.6172839403152466
8,conv_lstm,irw,50,0.9635316729545593,0.6315789222717285,0.9486607313156128,1.0,1.0,1.0,0.7790697813034058,0.9178885817527771,0.7599999904632568,0.717277467250824
9,conv_lstm,last,15,0.9932432174682617,0.843317985534668,0.9869565367698669,1.0,0.9927007555961609,1.0,0.811475396156311,0.9270833134651184,0.7599999904632568,0.7894737124443054
10,conv_lstm,last,30,0.9931507110595703,0.8383838534355164,0.9907833933830261,1.0,0.9925925731658936,1.0,0.811475396156311,0.9270833134651184,0.7599999904632568,0.7894737124443054
11,conv_lstm,last,50,0.9931034445762634,0.8279569745063782,0.9899497628211975,1.0,1.0,1.0,0.8181818127632141,0.9255319237709045,0.7599999904632568,0.7746478915214539
